developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
20/01773/S106/1,435,,other,20/01773/S106,local-authority-eng:NTY,2020-12-08,2020-12-09,,/developer-agreement-contribution/local-authority-eng/NTY/20-01773-S106-1
20/01576/S106/1,337,,other,20/01576/S106,local-authority-eng:NTY,2020-10-05,2020-10-05,,/developer-agreement-contribution/local-authority-eng/NTY/20-01576-S106-1
20/01258/S106/1,337,,other,20/01258/S106,local-authority-eng:NTY,2020-09-09,2020-09-09,,/developer-agreement-contribution/local-authority-eng/NTY/20-01258-S106-1
20/01259/S106/1,0,,other,20/01259/S106,local-authority-eng:NTY,2020-09-07,2020-09-07,,/developer-agreement-contribution/local-authority-eng/NTY/20-01259-S106-1
20/01316/S106/1,674,,other,20/01316/S106,local-authority-eng:NTY,2020-09-16,2020-09-16,,/developer-agreement-contribution/local-authority-eng/NTY/20-01316-S106-1
20/01258/S106/1,337,,other,20/01258/S106,local-authority-eng:NTY,2020-09-09,2020-09-09,,/developer-agreement-contribution/local-authority-eng/NTY/20-01258-S106-1
20/01066/S106/1,337,,other,20/01066/S106,local-authority-eng:NTY,2020-03-03,2020-03-03,,/developer-agreement-contribution/local-authority-eng/NTY/20-01066-S106-1
20/01140/S106/10,5.4E+3,,open-space-and-leisure,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-10
20/01140/S106/9,25245,,other,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-9
20/01140/S106/8,14625,,other,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-8
20/01140/S106/7,1.4E+4,,economic-development,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-7
20/01140/S106/6,41062,,open-space-and-leisure,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-6
20/01140/S106/5,48375,,open-space-and-leisure,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-5
20/01140/S106/4,5.6E+4,,community-facilities,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-4
20/01140/S106/3,2.125E+5,,education,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-3
20/01140/S106/2,5.25E+4,,community-facilities,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-2
20/01140/S106/1,0,19,affordable-housing,20/01140/S106,local-authority-eng:NTY,2020-08-12,2020-08-12,,/developer-agreement-contribution/local-authority-eng/NTY/20-01140-S106-1
20/01146/S106/1,674,,other,20/01146/S106,local-authority-eng:NTY,2020-08-20,2020-08-20,,/developer-agreement-contribution/local-authority-eng/NTY/20-01146-S106-1
20/00997/S106/6,0,,affordable-housing,20/00997/S106,local-authority-eng:NTY,2020-06-17,2020-06-17,,/developer-agreement-contribution/local-authority-eng/NTY/20-00997-S106-6
20/00997/S106/5,1.278E+4,,open-space-and-leisure,20/00997/S106,local-authority-eng:NTY,2020-06-17,2020-06-17,,/developer-agreement-contribution/local-authority-eng/NTY/20-00997-S106-5
20/00997/S106/4,1.26E+4,,community-facilities,20/00997/S106,local-authority-eng:NTY,2020-06-17,2020-06-17,,/developer-agreement-contribution/local-authority-eng/NTY/20-00997-S106-4
20/00997/S106/3,5E+4,,education,20/00997/S106,local-authority-eng:NTY,2020-06-17,2020-06-17,,/developer-agreement-contribution/local-authority-eng/NTY/20-00997-S106-3
20/00997/S106/2,18065,,economic-development,20/00997/S106,local-authority-eng:NTY,2020-06-17,2020-06-17,,/developer-agreement-contribution/local-authority-eng/NTY/20-00997-S106-2
20/00997/S106/1,6066,,other,20/00997/S106,local-authority-eng:NTY,2020-06-17,2020-06-17,,/developer-agreement-contribution/local-authority-eng/NTY/20-00997-S106-1
20/00033/S106/4,1.5E+3,,transport-and-travel,20/00033/S106,local-authority-eng:NTY,2017-04-27,2017-04-27,,/developer-agreement-contribution/local-authority-eng/NTY/20-00033-S106-4
